,Name,Purpose,neg,neu,pos,compound
0,"Alvarez, Russo and Lopez",Universal exuding knowledge user for disintermediate dot-com eyeballs,0.0,1.0,0.0,0.0
1,Khan PLC,User-friendly mission-critical service-desk for engage viral paradigms,0.0,0.714,0.286,0.34
2,Clark and Sons,Multi-layered bi-directional interface for redefine holistic markets,0.0,1.0,0.0,0.0
3,"Nichols, Martin and Young",Organic web-enabled Graphic Interface for seize plug-and-play e-tailers,0.0,1.0,0.0,0.0
4,"Conley, Burns and Palmer",Front-line tangible frame for aggregate clicks-and-mortar architectures,0.0,1.0,0.0,0.0
5,"Levy, Gonzalez and Russell",Upgradable composite task-force for incubate global portals,0.0,1.0,0.0,0.0
6,"Johnson, Perez and Foster",Phased tangible complexity for drive revolutionary experiences,0.0,1.0,0.0,0.0
7,Johnson Group,Total fault-tolerant middleware for deliver sticky e-commerce,0.0,1.0,0.0,0.0
8,Cameron and Sons,Multi-lateral needs-based initiative for engage dynamic technologies,0.0,0.5,0.5,0.6124
9,Clark-Hartman,Expanded homogeneous structure for matrix ubiquitous partnerships,0.0,1.0,0.0,0.0
10,"Floyd, Smith and Lopez",Public-key client-driven throughput for disintermediate impactful systems,0.0,1.0,0.0,0.0
11,Moreno-Reed,Reverse-engineered contextually-based Local Area Network for brand wireless methodologies,0.0,1.0,0.0,0.0
12,Padilla-Stewart,Streamlined dedicated utilization for empower mission-critical paradigms,0.0,0.667,0.333,0.4588
13,Fernandez-Khan,Customer-focused content-based architecture for incubate killer mindshare,0.417,0.583,0.0,-0.6486
14,Alvarez and Sons,Organized eco-centric Local Area Network for whiteboard one-to-one channels,0.0,1.0,0.0,0.0
15,Palmer-Miller,Profit-focused content-based open system for matrix frictionless ROI,0.0,1.0,0.0,0.0
16,"Browning, Johnson and Ryan",Profit-focused object-oriented database for redefine ubiquitous technologies,0.0,1.0,0.0,0.0
17,Strong-Day,Ameliorated next generation productivity for streamline proactive methodologies,0.0,0.714,0.286,0.4215
18,"Rhodes, Turner and Logan",User-friendly optimizing analyzer for iterate vertical e-markets,0.0,0.667,0.333,0.4588
19,"Lopez, Luna and Wright",Up-sized stable definition for scale end-to-end e-markets,0.0,0.732,0.268,0.296
20,"Woods, Mckinney and Rogers",Horizontal hybrid pricing structure for orchestrate proactive convergence,0.0,0.714,0.286,0.4215
21,Davis and Sons,Focused regional knowledgebase for deliver cross-media ROI,0.0,0.698,0.302,0.3818
22,"Jensen, Hooper and Miller",De-engineered 3rdgeneration synergy for visualize B2C infrastructures,0.0,1.0,0.0,0.0
23,Carter Ltd,Secured directional encryption for deliver wireless niches,0.0,0.69,0.31,0.4019
24,"Walker, Kirby and Johnson",Team-oriented bifurcated parallelism for facilitate holistic functionalities,0.0,1.0,0.0,0.0
25,"Morse, Clark and Jensen",Integrated disintermediate methodology for unleash open-source communities,0.0,1.0,0.0,0.0
26,Hudson LLC,Secured non-volatile open system for orchestrate turn-key infrastructures,0.0,0.722,0.278,0.4019
27,Wood-Gonzales,Up-sized holistic secured line for revolutionize real-time convergence,0.0,0.722,0.278,0.4019
28,"Lane, Haas and Holmes",Organized dynamic moratorium for exploit web-enabled synergies,0.156,0.556,0.289,0.296
29,Garza-Rodriguez,Re-contextualized solution-oriented initiative for brand world-class methodologies,0.0,1.0,0.0,0.0
30,Salas Inc,Re-engineered methodical paradigm for benchmark granular info-mediaries,0.0,0.789,0.211,0.1531
31,Obrien PLC,Open-architected client-driven access for transform intuitive experiences,0.0,1.0,0.0,0.0
32,Vargas-Nichols,Extended fresh-thinking challenge for mesh customized users,0.0,0.822,0.178,0.0772
33,Burton and Sons,Reduced tangible alliance for facilitate visionary mindshare,0.0,0.638,0.362,0.5267
34,"Price, Phillips and Cole",Seamless well-modulated protocol for transform bleeding-edge ROI,0.0,1.0,0.0,0.0
35,Lucero and Sons,Diverse static hardware for benchmark intuitive markets,0.0,1.0,0.0,0.0
